"id","jurnal_id","user_id","parent_id","comment","like_count","userliked","is_publish","created_at","updated_at"
178116,102163,113971,,Nanti malam bisa tidur nyenyak😁,2,"[113971,1]",1,"2024-04-03 18:00:24","2024-04-09 10:38:19"
178118,102163,130265,,Akhirnya flash sale siang hari,1,[1],1,"2024-04-03 18:04:31","2024-04-09 10:38:14"
178135,102163,102986,,semoga beruntung,1,[1],1,"2024-04-03 18:40:40","2024-04-09 10:38:23"
178150,102163,21146,,Semoga rezeki....,1,[1],1,"2024-04-03 19:02:16","2024-04-09 10:38:20"
178156,102163,117698,,Yay bismillah,1,[1],1,"2024-04-03 19:05:04","2024-04-09 10:38:20"
178177,102163,130323,,Wahh.... Bakalan pasang alarm nih,1,[1],1,"2024-04-03 19:20:38","2024-04-09 10:38:22"
178180,102163,130246,,Semoga bisa nuker aamiin,2,"[130246,1]",1,"2024-04-03 19:22:19","2024-04-09 10:38:11"
178186,102163,15506,,Syiipp,1,[1],1,"2024-04-03 19:24:08","2024-04-09 10:38:27"
178187,102163,124358,,Semoga bisa tukar nih,1,[1],1,"2024-04-03 19:25:07","2024-04-09 10:38:26"
178204,102163,123568,,Mantap,1,[1],1,"2024-04-03 19:34:55","2024-04-09 10:38:29"
178219,102163,128096,,"Asyeekkk tuker koin, mantap",1,[1],1,"2024-04-03 19:47:25","2024-04-09 10:38:28"
178285,102163,134009,,wow 75%,1,[1],1,"2024-04-03 20:37:30","2024-04-09 10:38:08"
178336,102163,117982,,Bismillah semoga rzki,1,[1],1,"2024-04-03 21:37:04","2024-04-09 10:38:09"
178339,102163,134150,,👍👍👍,1,[1],1,"2024-04-03 21:41:19","2024-04-09 10:38:32"
178340,102163,115734,,Bismillah 😁,1,[1],1,"2024-04-03 21:41:29","2024-04-09 10:38:31"
178345,102163,116421,,Semoga dapattttt 🙏🙏🙏,2,"[116421,1]",1,"2024-04-03 21:46:27","2024-04-09 10:38:31"
178351,102163,113958,,Semoga rezeki,1,[1],1,"2024-04-03 21:58:11","2024-04-09 10:38:05"
178358,102163,105367,,Bismillahirrahmaanirrahim berkah selalu PT. Ajinomoto #Dapur Umami #Masako #Bijak Garam # Salam Sehat,2,"[105367,1]",1,"2024-04-03 22:02:25","2024-04-09 10:38:37"
178372,102163,132732,,Masih nabung poin :),1,[1],1,"2024-04-03 22:08:58","2024-04-09 10:38:35"
178405,102163,134470,,Yang di tunggu²,0,,1,"2024-04-03 22:25:36","2024-04-03 22:25:36"
178406,102163,134470,,Mantaaap,0,,1,"2024-04-03 22:25:41","2024-04-03 22:25:41"
178407,102163,134470,,👌👌👌👌,1,[1],1,"2024-04-03 22:25:46","2024-04-09 10:38:01"
178420,102163,134279,,Wooow,0,,1,"2024-04-03 22:46:32","2024-04-03 22:46:32"
178421,102163,134279,,Mantaap,0,,1,"2024-04-03 22:46:36","2024-04-03 22:46:36"
178422,102163,134279,,Kereen,0,,1,"2024-04-03 22:46:43","2024-04-03 22:46:43"
