"id","user_id","title","like_count","userliked","comment_count","created_at","updated_at"
100920,1,Bubur Labu Kuning Cocok Menjadi Sumber Energi Si Kecil Saat Berpuasa,12,"{""8"":21146,""10"":129942,""13"":117553,""14"":129071,""17"":127443,""18"":130744,""19"":129965,""20"":129966,""21"":130741,""22"":132756,""23"":78846,""24"":126029}",26,"2024-04-01 09:00:14","2024-04-07 17:37:21"
102154,1,Pemenang Imlek Lebih Spesial SAORI,64,"{""0"":113971,""1"":102986,""2"":123195,""3"":21146,""4"":115734,""5"":15506,""6"":130246,""7"":124358,""8"":123568,""9"":123691,""10"":128096,""11"":123445,""12"":118357,""13"":113958,""14"":132732,""15"":52202,""16"":134279,""17"":127981,""19"":115154,""20"":132715,""21"":111411,""22"":116531,""23"":24531,""24"":17958,""25"":44411,""26"":126029,""27"":51571,""28"":134024,""29"":133688,""30"":117553,""31"":117037,""32"":133866,""33"":129942,""34"":129965,""35"":133580,""37"":134368,""38"":123424,""39"":55067,""40"":133739,""41"":130319,""42"":115740,""43"":100858,""44"":121843,""45"":46820,""46"":130266,""47"":118244,""48"":111550,""49"":118493,""50"":133976,""51"":134008,""52"":128206,""53"":130254,""54"":130741,""56"":118437,""57"":134171,""58"":134283,""59"":130744,""60"":132756,""61"":70726,""62"":78846,""63"":129071,""64"":134649,""65"":129265,""66"":129966}",112,"2024-04-03 17:46:24","2024-04-09 05:26:36"
102163,1,"Lebaran makin dekat! Yuk, serbu Flash Sale 4.4 Sekarang!",88,"{""0"":113971,""1"":130265,""2"":115822,""3"":102986,""4"":21146,""5"":130323,""7"":130246,""8"":15506,""9"":124358,""10"":123568,""11"":128096,""12"":134009,""13"":117982,""14"":134150,""15"":113958,""16"":105367,""17"":132732,""19"":46820,""21"":127981,""22"":127443,""26"":115154,""27"":133573,""28"":132715,""29"":134129,""30"":17958,""31"":44411,""32"":118244,""33"":115912,""34"":115734,""35"":126029,""36"":30165,""38"":129924,""39"":134024,""42"":133688,""46"":133580,""48"":129966,""49"":123424,""50"":55067,""52"":130325,""53"":130254,""54"":130266,""55"":100858,""56"":115877,""57"":129360,""58"":133976,""60"":52202,""61"":24779,""62"":133581,""63"":118052,""64"":134171,""68"":134303,""71"":133656,""76"":117037,""78"":115815,""79"":111550,""80"":134008,""81"":128206,""83"":133739,""84"":130319,""85"":130220,""87"":132756,""89"":134279,""90"":118437,""91"":116531,""93"":24531,""94"":73871,""97"":133921,""99"":122654,""103"":130741,""105"":71527,""106"":134287,""107"":134127,""108"":134470,""109"":134345,""110"":134283,""111"":25238,""112"":114047,""113"":118114,""114"":117553,""115"":70703,""117"":129071,""118"":129942,""120"":130744,""121"":133965,""122"":78846,""123"":127008,""124"":115852,""125"":129965}",361,"2024-04-03 17:54:39","2024-04-09 10:38:54"
103785,1,"JAWAB PERTANYAAN DAN DAPATKAN HADIAH TOTAL JUTAAN RUPIAH, SEKARANG!",77,"[40752,126029,51571,123424,133792,115734,70892,74390,73871,118520,118244,115154,71359,71256,127008,115686,128096,75269,21146,113958,123195,128410,100477,102986,133573,124358,134279,123568,15506,78846,117833,116204,115863,115849,115847,44411,116531,24531,133688,17958,21658,134008,71710,128206,72348,74031,113954,24771,24779,25238,74032,117021,24776,118468,75196,117851,113971,113970,114047,24774,129965,129966,118437,130741,130744,46820,132732,115293,134670,71527,39359,118662,117675,130793,102811,115912,76065]",125,"2024-04-07 17:06:18","2024-04-13 10:36:20"
104155,1,"5 Olahan Sayur Simpel untuk Imbangi Menu Berlemak Saat Lebaran",32,"{""0"":55067,""1"":128096,""2"":123568,""3"":115734,""4"":115740,""5"":134150,""6"":21146,""7"":134301,""8"":128206,""9"":117553,""10"":102986,""12"":113958,""13"":129965,""15"":130741,""17"":46820,""18"":132732,""19"":116531,""20"":108043,""21"":24531,""23"":115154,""24"":124358,""25"":129942,""26"":134283,""27"":52202,""28"":104352,""29"":134647,""30"":78846,""31"":117037,""32"":122654,""33"":129071,""34"":129966,""35"":130744}",63,"2024-04-08 10:46:23","2024-04-13 10:52:55"
104179,1,Jangan Kalap! Ini Tips Makan Sehat Saat Lebaran,34,"{""0"":130319,""1"":71710,""2"":102986,""3"":130325,""4"":126029,""5"":134150,""6"":117982,""8"":134301,""9"":128206,""10"":117037,""11"":115734,""12"":128096,""13"":118298,""14"":113958,""16"":129965,""18"":130741,""19"":130744,""20"":132732,""21"":116531,""22"":24531,""23"":115852,""24"":123568,""25"":133688,""26"":132780,""27"":134287,""28"":1,""29"":115154,""30"":51571,""31"":21146,""32"":134445,""33"":52202,""34"":122654,""35"":123424,""36"":129966}",91,"2024-04-08 12:20:13","2024-04-11 14:10:33"
104489,1,Resep Sayur yang Bikin Nagih dan Jadi Favorit Saat Lebaran,34,"{""0"":130220,""1"":133688,""2"":113958,""4"":133656,""5"":132756,""7"":115734,""8"":118520,""9"":115154,""10"":51571,""11"":21146,""12"":134445,""13"":117982,""14"":134171,""15"":134283,""16"":52202,""17"":128096,""18"":124358,""19"":116531,""20"":17958,""22"":117037,""23"":130246,""24"":102986,""25"":115852,""26"":123424,""27"":108043,""28"":129942,""30"":129966,""31"":130744,""32"":130741,""33"":134647,""34"":111550,""35"":117553,""36"":129965,""37"":134303}",83,"2024-04-09 07:22:03","2024-04-13 10:54:18"
104520,1,Cara Mengatur Pola Makan Sehat di Momen Lebaran,36,"{""0"":71710,""1"":115740,""2"":115154,""3"":51571,""4"":124358,""5"":21146,""6"":134445,""7"":117982,""8"":123568,""9"":134470,""10"":52202,""11"":128096,""12"":133688,""13"":73871,""14"":116531,""15"":17958,""16"":78846,""17"":118244,""18"":130254,""19"":130246,""20"":40752,""22"":129966,""23"":123424,""24"":102986,""25"":134308,""29"":130744,""30"":130741,""31"":115734,""32"":113958,""33"":129071,""34"":102811,""35"":129965,""36"":134647,""37"":111550,""38"":115852,""39"":129942}",91,"2024-04-09 10:44:49","2024-04-13 12:07:42"
104607,1,Ragam Sumber Karbohidrat Pengganti Nasi yang Lebih Sehat,15,"{""0"":74390,""1"":132757,""2"":103264,""3"":134011,""4"":100858,""5"":21146,""6"":129071,""8"":129966,""9"":78846,""10"":117553,""11"":129942,""12"":129965,""13"":130744,""14"":130741,""15"":132756}",58,"2024-04-10 05:43:22","2024-04-11 07:12:04"
104837,1,Mau Tetap Sehat Selama Lebaran? Ini Rahasianya,9,"[130272,124358,130220,21146,102986,128096,117025,73871,117553]",14,"2024-04-11 14:04:27","2024-04-12 07:43:00"
